name,rating,reviews,price,product_url,category,raw_text
HONOR X6c 6/256/6.7/50 Ocean Cyan,5.0,40,84990,https://www.technodom.kz/p/smartfon-honor-x6c-6-256-6-7-50-ocean-cyan-291802,smartphones,0 - 0 - 24 -6% Смартфон HONOR X6c 6/256/6.7/50 Ocean Cyan 5 (40) 84 990 ₸ 89 990 ₸ до + 4 249 бонусов 7 083 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
Apple iPhone 16 8/128GB Teal,5.0,138,499990,https://www.technodom.kz/p/smartfon-apple-iphone-16-128gb-teal-284607,smartphones,0 - 0 - 24 -7% Смартфон Apple iPhone 16 8/128GB Teal 5 (138) 499 990 ₸ 534 990 ₸ 41 666 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
Redmi 15C 128GB Midnight Black,5.0,155,59990,https://www.technodom.kz/p/smartfon-gsm-redmi-15c-4-128-6-9-50-midnight-black-292494,smartphones,0 - 0 - 24 -8% Смартфон Redmi 15C 128GB Midnight Black 5 (155) 59 990 ₸ 64 990 ₸ до + 2 999 бонусов от 1 941 ₸ x 60 мес В корзину Самовывоз сегодня На витрине
Samsung Galaxy A17 8/256GB/6.7/50 Серый,5.0,18,129890,https://www.technodom.kz/p/smartfon-gsm-samsung-galaxy-a17-8-256gb-6-7-50-seriy-294027,smartphones,0 - 0 - 24 Смартфон Samsung Galaxy A17 8/256GB/6.7/50 Серый 5 (18) 129 890 ₸ до + 6 494 бонусов 10 825 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
"OPPO A5i 4/128/6,7/8 Nebula Red",5.0,3,89990,https://www.technodom.kz/p/smartfon-oppo-a5i-4128678-nebula-red-291938,smartphones,"0 - 0 - 24 + подарок Смартфон OPPO A5i 4/128/6,7/8 Nebula Red 5 (3) 89 990 ₸ до + 4 499 бонусов 7 500 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра"
Apple iPhone 16 8/256GB Teal,5.0,138,559990,https://www.technodom.kz/p/smartfon-apple-iphone-16-256gb-teal-284612,smartphones,0 - 0 - 24 -8% Смартфон Apple iPhone 16 8/256GB Teal 5 (138) 559 990 ₸ 609 990 ₸ от 18 118 ₸ x 60 мес В корзину Самовывоз сегодня На витрине
Samsung Galaxy S25 Ultra 12/256GB Titanium Blue,5.0,53,659890,https://www.technodom.kz/p/smartfon-samsung-galaxy-s25-ultra-12256gb-titanium-blue-288456,smartphones,0 - 0 - 24 -20% Смартфон Samsung Galaxy S25 Ultra 12/256GB Titanium Blue 5 (53) 659 890 ₸ 829 890 ₸ до + 32 994 бонусов 54 991 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
Samsung Galaxy A56 8/128 Awesome Olive,5.0,187,209990,https://www.technodom.kz/p/smartfon-samsung-galaxy-a56-128-awesome-olive-sm-a566ezgaskz-289304,smartphones,0 - 0 - 24 -9% Смартфон Samsung Galaxy A56 8/128 Awesome Olive 5 (187) 209 990 ₸ 229 890 ₸ до + 10 499 бонусов 17 500 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
Apple iPhone Air 12/256GB/6.5/48 Space Black,4.9,7,764990,https://www.technodom.kz/p/smartfon-gsm-apple-iphone-air-8-256gb-6-5-48-space-black-293888,smartphones,0 - 0 - 24 Смартфон Apple iPhone Air 12/256GB/6.5/48 Space Black 4.9 (7) 764 990 ₸ 63 750 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
Apple iPhone 16 Pro Max 8/256GB Desert Titanium,4.8,165,799990,https://www.technodom.kz/p/smartfon-apple-iphone-16-pro-max-256gb-desert-titanium-284651,smartphones,0 - 0 - 24 -4% Смартфон Apple iPhone 16 Pro Max 8/256GB Desert Titanium 4.8 (165) 799 990 ₸ 834 990 ₸ от 25 883 ₸ x 60 мес В корзину Самовывоз сегодня На витрине
Samsung Galaxy S25 Ultra 12/256GB Titanium Silver,5.0,53,659890,https://www.technodom.kz/p/smartfon-samsung-galaxy-s25-ultra-12256gb-titanium-silver-288460,smartphones,0 - 0 - 24 -20% Смартфон Samsung Galaxy S25 Ultra 12/256GB Titanium Silver 5 (53) 659 890 ₸ 829 890 ₸ до + 32 994 бонусов 54 991 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
